Country,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
SolomonIslands,1.964987496,6.655,6.625,32.96498243,64.71428517,22680,1157.597211,49.2928116,0,53.19694323,1324.794265,0,86.3,9.433992279,1.099913266,53.227,0,0,5.192,0,0,-20.23196081,7.180696011,7.20654841,36.66666667
Somalia,70.04176364,7.232,7,14.89257344,54.64285714,75150,0,2.613922405,0,21.51855,1278.432413,0,97.58,3.397375366,0.554412917,40.179,0,0,5.399,0,0,-6.625976563,20.17230034,5.332309354,154
SouthAfrica,79.54086968,5.7,4,25.97679105,59.84285682,69330,2940.662208,138.3183483,6.056215027,22.87234037,7256.575637,44.93,47.82727273,3.856757637,4.68341998,52.104,79.30129651,89.53550167,17.505,578.4808392,25.74093117,3.104450676,43.51369095,2.369229462,138072
SouthSudan,0,6.855,0,67.26265938,0,0,0,0,0,0,1753.217766,0,122.8333333,0,0,35.023,0,0,0,0,0,0,0,1.666551353,0
Spain,64.34631238,2.86,-7,10.56861275,49.5571428,169880,6139.631006,1320.856507,7.06736265,12.60040853,8374.242965,26.61201267,30.1,5.911130109,23.63191748,71.73,97.63060774,99.56430812,65.412,192.126462,13.622114,-2.031795777,10.40734,2.803175192,97148.33333
SriLanka,37.01164089,4.609,7,20.62144257,46.72857121,20820,315.718246,20.05137495,1.48138193,23.58869086,1192.496077,29.17,55.9,12.08790334,2.005672631,63.158,90.55795051,97.98180225,183.183,65.9312348,15.23004334,-2.967248297,2.132271,4.47291141,3241.333333
Sudan,46.10563973,6.865,7,15.11598048,32.08571379,704910,257.0750097,11.43144571,1.10079083,16.84498844,1744.145488,0,94.8,2.368024536,2.744336662,51.466,61.34587311,78.15558788,5.59,22.4478139,0,-1.72900796,50.11398697,6.942232467,3105.666667
Suriname,0.275641026,5.922,2.444444444,57.68359021,49.04285758,147760,2211.071203,105.3043742,5.516390727,51.56391659,4746.51589,0,30.78,17.81817423,7.467191291,62.599,92.10949768,97.14877977,2.201,0,0,6.119673617,30.96791267,2.059720795,1452
Swaziland,87.09302326,6.857,0,75.61403509,75.20000022,5180,1171.968419,66.3414588,0.253299142,72.10526316,2428.328658,0,119.5,11.70323516,3.035887097,46.982,68.49286955,83.65784351,24.312,0,24.30881783,3.50877193,30.68395805,10.52149636,278.6666667
Sweden,9.068089877,2.068,10,21.5645986,86.97142901,273890,15126.81892,2776.868319,15.82806391,21.58395047,16136.68748,22.18160205,12.2,2.391862396,46.01780049,74.03,0,0,17.622,1088.892092,21.93297921,-0.019351864,15.4462,1.568520522,77678.33333
